929479629840281601	Normal Speech
929467030406758400	Normal Speech
929462971889102849	Normal Speech
929460995981901825	Hate Speech
929460432498233344	Hate Speech
929459222697431040	Normal Speech
929458052008263680	Hate Speech
929453273362206721	Normal Speech
929443767131684864	Normal Speech
929443297961136129	Normal Speech
929439006470918150	Normal Speech
929437933471281152	Normal Speech
929437528926560256	Normal Speech
929436125957013504	Hate Speech
929431275357716480	Normal Speech
929429959713722368	Hate Speech
929429583832555520	Normal Speech
929425547024674816	Hate Speech
929425304992358400	Normal Speech
929423187523330050	Normal Speech
929422849814573056	Normal Speech
929419758407241728	Normal Speech
929419055995404288	Hate Speech
929419055802540037	Normal Speech
929417588471316481	Normal Speech
929417461257998336	Normal Speech
929416501005762560	Hate Speech
929416041570164738	Normal Speech
929414405229547526	Normal Speech
929414177587949569	Normal Speech
929413862067179520	Normal Speech
929412633400193024	Normal Speech
929411816949669888	Hate Speech
929409956465467392	Normal Speech
929409727439753217	Hate Speech
929409644870565888	Hate Speech
929408686807646208	Hate Speech
929408566108348417	Normal Speech
929408513968832520	Normal Speech
929408205347835904	Normal Speech
929407783329337344	Normal Speech
929407681324027905	Normal Speech
929407299969413120	Normal Speech
929406791795875840	Hate Speech
929406669057957888	Hate Speech
929406665878732800	Normal Speech
929406524417560578	Normal Speech
929406312252809216	Hate Speech
929405995356434432	Hate Speech
929404325322825728	Normal Speech
929403558109335552	Normal Speech
929402612847398912	Hate Speech
929400488830820352	Normal Speech
929400316428140544	Hate Speech
929400275680485376	Hate Speech
929399759206359041	Hate Speech
929399618282037249	Normal Speech
929398669282906112	Hate Speech
929398418501353472	Normal Speech
929397439919828992	Normal Speech
929397239851532288	Hate Speech
929396906597462017	Normal Speech
929396627009392641	Normal Speech
929395828786991105	Normal Speech
929395192339185664	Normal Speech
929394085428740096	Normal Speech
929393745023311872	Normal Speech
929393742666014721	Normal Speech
929393573459644417	Normal Speech
929393223323324417	Normal Speech
929392998453952513	Hate Speech
929392151489683461	Normal Speech
929391495827701760	Hate Speech
929388209749901312	Normal Speech
929388207426244608	Normal Speech
929387243281645568	Normal Speech
929385588809068544	Normal Speech
929385439739416576	Normal Speech
929384324947783680	Normal Speech
929382600174534656	Normal Speech
929380374441893888	Normal Speech
929380305412153344	Normal Speech
929380159781613574	Normal Speech
929379436431998978	Hate Speech
929379421290561536	Normal Speech
929377801173528578	Hate Speech
929377078075518981	Normal Speech
929373258750840832	Normal Speech
929373042739834881	Normal Speech
929371524993134593	Normal Speech
936015566091051009	Normal Speech
936007428046389248	Normal Speech
935996034810912768	Hate Speech
935996005354541056	Normal Speech
935986352226791424	Normal Speech
935985204857937921	Hate Speech
935984665965596674	Normal Speech
935983881559228416	Hate Speech
935983329635192832	Normal Speech
935981405796012034	Normal Speech
935979340998815744	Normal Speech
935975752008216576	Normal Speech
935975611142672384	Normal Speech
935975595640438784	Normal Speech
935973460530073601	Normal Speech
935969978485837824	Normal Speech
935969379476439041	Normal Speech
935968181017038848	Normal Speech
935967784034451456	Normal Speech
935967075583053830	Normal Speech
935963676632330240	Normal Speech
935962770746609670	Normal Speech
935962483847716864	Normal Speech
935962207501803520	Hate Speech
935962011036454913	Normal Speech
935961393408352256	Hate Speech
935960769958764544	Normal Speech
935960760114487296	Hate Speech
935960492660744192	Normal Speech
935959944339361793	Normal Speech
935959411016851457	Normal Speech
935958455814361088	Normal Speech
935957837368385537	Normal Speech
935957400166727681	Normal Speech
935957097434329088	Normal Speech
935956575449055232	Hate Speech
935956107545194496	Hate Speech
935955785879764992	Normal Speech
935954976664195072	Hate Speech
